infra_id,infra_kind,longueur,material_cost,labor_cost_continuous,total_cost,duration_hours_4workers,beneficiaries_proxy,is_hospital_path,phase
P007514,aerien,10.3279655802057,5163.982790102849,774.5974185154274,5938.580208618277,5.16398279010285,8,False,1
P007609,aerien,7.79612855602243,3898.0642780112153,584.7096417016822,4482.773919712898,3.898064278011215,8,False,1
P007641,aerien,6.69156313094176,3345.78156547088,501.867234820632,3847.648800291512,3.34578156547088,8,False,1
P007692,semi-aerien,9.64962873769354,7237.221553270155,1447.444310654031,8684.665863924185,9.64962873769354,8,False,1
P007780,fourreau,9.91136244085116,8920.226196766045,1858.3804576595928,10778.606654425637,12.389203051063951,8,False,1
P007790,fourreau,5.85611808756648,5270.506278809832,1098.022141418715,6368.5284202285475,7.3201476094580995,8,False,1
P007810,fourreau,0.372684471449813,335.4160243048317,69.87833839683994,405.2943627016716,0.4658555893122662,8,False,1
P008017,aerien,4.27226322548612,2136.13161274306,320.419741911459,2456.551354654519,2.13613161274306,8,False,1
P008036,semi-aerien,7.44176035956022,5581.3202696701655,1116.264053934033,6697.584323604198,7.44176035956022,8,False,1
P000730,fourreau,1.29899271965775,1169.093447691975,243.56113493582814,1412.654582627803,1.6237408995721876,7,False,1
P000740,fourreau,5.23566836620947,4712.101529588524,981.6878186642757,5693.7893482528,6.544585457761838,7,False,1
P005000,semi-aerien,2.71913580007238,2039.351850054285,407.870370010857,2447.222220065142,2.71913580007238,7,False,1
P005531,aerien,14.8493095953268,7424.654797663399,1113.6982196495098,8538.35301731291,7.4246547976634,7,False,1
P007631,fourreau,4.7919164305287,4312.72478747583,898.4843307241314,5211.209118199962,5.989895538160876,7,False,1
P007639,fourreau,6.13280316452202,5519.522848069818,1149.9005933478788,6669.423441417697,7.666003955652525,7,False,1
P007702,aerien,4.73832300241692,2369.1615012084603,355.374225181269,2724.5357263897295,2.36916150120846,7,False,1
P001156,aerien,13.4887076792516,6744.3538396258,1011.65307594387,7756.00691556967,6.7443538396258,6,False,1
